,microhabitat,feeding_guild,secondary_guilds,moisture_pref,size_class,phylum,class,order,family,genus,species
g__Chrysonema,eu,o,"c,b,f",m,micro,Nematoda,Enoplea,Dorylaimida,Dorylaimidae,Chrysonema,Chrysonema attenuatum
g__Diphascon,ep,o,"b,f,h",m,micro,Tardigrada,Eutardigrada,Parachela,Hypsibiidae,Diphascon,Diphascon pingue
s__Enchodeloides signyensis,eu,o,"c,b,f",m,micro,Nematoda,Enoplea,Dorylaimida,Nordiidae,Enchodeloides,Enchodeloides signyensis
g__Enchodelus,eu,o,"c,b,f",m,micro,Nematoda,Enoplea,Dorylaimida,Nordiidae,Enchodelus,NA
g__Eudorylaimus,eu,o,"c,b,f",m,micro,Nematoda,Enoplea,Dorylaimida,Qudsianematidae,Eudorylaimus,Eudorylaimus carteri
g__Geocentrophora,ep,o,"c,b",h,micro,Platyhelminthes,NA,Prorhynchida,Prorhynchidae,Geocentrophora,NA
s__Gnathorhynchus inermis,ep,o,"c,b",h,micro,Platyhelminthes,NA,Rhabdocoela,Gnathorhynchidae,Gnathorhynchus,Gnathorhynchus inermis
g__Heterolepidoderma,aq,o,"b,d,f",h,micro,Gastrotricha,Gastrotricha,Chaetonotida,Chaetonotidae,Heterolepidoderma,NA
s__Hypsibius dujardini,ep,o,"b,f,h",m,micro,Tardigrada,Eutardigrada,Parachela,Hypsibiidae,Hypsibius,Hypsibius dujardini
s__Ichthydium skandicum,aq,o,"b,d,f",h,micro,Gastrotricha,Gastrotricha,Chaetonotida,Chaetonotidae,Ichthydium,Ichthydium skandicum
g__Isohypsibius,ep,o,"b,f,h",m,micro,Tardigrada,Eutardigrada,Parachela,Isohypsibiidae,Isohypsibius,Isohypsibius papillifer
g__Itunella,aq,o,"b,d,f",h,micro,Arthropoda,Copepoda,Harpacticoida,Canthocamptidae,Itunella,Itunella muelleri
s__Lepidodermella intermedia,aq,o,"b,d,f",h,micro,Gastrotricha,Gastrotricha,Chaetonotida,Chaetonotidae,Lepidodermella,Lepidodermella intermedia
g__Macrobiotus,ep,o,"b,f,h",m,micro,Tardigrada,Eutardigrada,Parachela,Macrobiotidae,Macrobiotus,Macrobiotus polonicus
s__Macrobiotus hufelandi,ep,o,"b,f,h",m,micro,Tardigrada,Eutardigrada,Parachela,Macrobiotidae,Macrobiotus,Macrobiotus hufelandi
g__Mesobiotus,ep,o,"b,f,h",m,micro,Tardigrada,Eutardigrada,Parachela,Macrobiotidae,Mesobiotus,Mesobiotus philippinicus
g__Mesocrista,ep,o,"b,f,h",m,micro,Tardigrada,Eutardigrada,Parachela,Hypsibiidae,Mesocrista,Mesocrista revelata
s__Microdalyellia armigera,ep,o,"c,b",h,micro,Platyhelminthes,NA,Rhabdocoela,Dalyelliidae,Microdalyellia,Microdalyellia armigera
f__Candonidae,aq,o,"b,d",h,micro,Arthropoda,Ostracoda,Podocopida,Candonidae,NA,NA
f__Catenulidae,ep,o,"c,b",h,micro,Platyhelminthes,Catenulida,NA,Catenulidae,NA,NA
o__Rhabdocoela,ep,o,"c,b",h,micro,Platyhelminthes,NA,Rhabdocoela,Neodalyellida,NA,NA
f__Stenostomidae,ep,o,"c,b",h,micro,Platyhelminthes,Catenulida,NA,Stenostomidae,NA,NA
s__Nemastoma bimaculatum,ep,o,"c,d",m,macro,Arthropoda,Arachnida,Opiliones,Nemastomatidae,Nemastoma,Nemastoma bimaculatum
s__Olisthanella truncula,ep,o,"c,b",h,micro,Platyhelminthes,NA,Rhabdocoela,Typhloplanidae,Olisthanella,Olisthanella truncula
g__Pristionchus,he,o,"c,b",m,micro,Nematoda,Chromadorea,Rhabditida,Diplogastridae,Pristionchus,Pristionchus quartusdecimus
g__Proleptonchus,eu,o,"c,b,f",m,micro,Nematoda,Enoplea,Dorylaimida,Leptonchidae,Proleptonchus,Proleptonchus weischeri
s__Richtersius coronifer,ep,o,"b,f,h",m,micro,Tardigrada,Eutardigrada,Parachela,Richtersiusidae,Richtersius,Richtersius coronifer
s__Styloplanella strongylostomoides,ep,o,"c,b",h,micro,Platyhelminthes,NA,Rhabdocoela,Typhloplanidae,Styloplanella,Styloplanella strongylostomoides
g__Tylencholaimus,eu,o,"c,b,f",m,micro,Nematoda,Enoplea,Dorylaimida,Qudsianematidae,Tylencholaimus,Tylencholaimus mirabilis
g__Howardula,ep,p,,m,micro,Nematoda,Chromadorea,Rhabditida,Allantonematidae,Howardula,NA
s__Howardula phyllotretae,ep,p,,m,micro,Nematoda,Chromadorea,Rhabditida,Allantonematidae,Howardula,Howardula phyllotretae
g__Pheromermis,he,p,,h,micro,Nematoda,Enoplea,Mermithida,Mermithidae,Pheromermis,NA
s__Steinernema affine,he,p,,m,micro,Nematoda,Chromadorea,Rhabditida,Steinernematidae,Steinernema,Steinernema affine
s__Steinernema glaseri,he,p,,m,micro,Nematoda,Chromadorea,Rhabditida,Steinernematidae,Steinernema,Steinernema glaseri
